plant_name,base_name,latitude,longitude
경상대태양광,경상대태양광,35.1582,128.1002
고흥만 수상태양광,고흥만수상태양광,34.55,127.28
광양항세방태양광,광양항세방태양광,34.9156,127.68
구미태양광,구미태양광,36.1195,128.3446
두산엔진MG태양광,두산엔진mg태양광,35.21,128.58
삼천포태양광#5_1,삼천포태양광,34.9454,128.068
삼천포태양광#5_2,삼천포태양광,34.9454,128.068
삼천포태양광#6,삼천포태양광,34.9454,128.068
삼천포태양광_1,삼천포태양광,34.9454,128.068
삼천포태양광_2,삼천포태양광,34.9454,128.068
삼천포태양광_3,삼천포태양광,34.9454,128.068
삼천포태양광_4,삼천포태양광,34.9454,128.068
여수태양광,여수태양광,34.7604,127.6622
영동태양광,영동태양광,37.7519,128.8761
영흥태양광 #3_1,영흥태양광,37.2594,126.4281
영흥태양광 #3_2,영흥태양광,37.2594,126.4281
영흥태양광 #3_3,영흥태양광,37.2594,126.4281
영흥태양광#5,영흥태양광,37.2594,126.4281
영흥태양광_1,영흥태양광,37.2594,126.4281
영흥태양광_2,영흥태양광,37.2594,126.4281
예천태양광,예천태양광,36.6469,128.4375
탑선태양광_1,탑선태양광,35.2733,126.7297
탑선태양광_3,탑선태양광,35.2733,126.7297
